Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"Index to the native and scientific names of indian and other eastern economic plants and products","J. Forbes Watson",1868,Ayurveda,https://worldherblibrary.org/catalog/index-to-the-native-and-scientific-names-of-indian-and-other-eastern-economic-plants-and-products/,publish,https://api.worldherblibrary.org/pdf/Index-to-the-native-and-scientific-names-of-Indian-and-other-eastern-economic-plants-compressed.pdf
"India’s Forest Wealth","E. A. Smythies",1925,Ayurveda,https://worldherblibrary.org/catalog/indias-forest-wealth/,publish,https://api.worldherblibrary.org/pdf/Indias-Forest-Wealth-compressed.pdf
"Indian and Colonial Addendum to the British Pharmacopoeia, 1898","The General Medical Council",1900,Ayurveda,https://worldherblibrary.org/catalog/indian-and-colonial-addendum-to-the-british-pharmacopoeia-1898/,publish,https://api.worldherblibrary.org/pdf/Indian-and-colonial-addendum-to-the-British-pharmacopoeia-1898-compressed.pdf
"Indian materia medica","Krishnarao Mangeshrao Nadkarni",1955,,https://worldherblibrary.org/?post_type=whl_catalog&p=221,draft,https://api.worldherblibrary.org/pdf/DrKMNadkarni_s_Indian_Materia_Medica_volume_one_1394p.pdf
"Indian materia medica","Krishnarao Mangeshrao Nadkarni",1955,,https://worldherblibrary.org/catalog/indian-materia-medica/,publish,https://api.worldherblibrary.org/pdf/Indian-Materia-Medica-K.-M.-Nadkarni-compressed.pdf
"Indian Materia Medica Vol. 1","Dr. K. M. Nadkarni",1824,Ayurveda,https://worldherblibrary.org/catalog/indian-materia-medica-vol-1/,publish,https://api.worldherblibrary.org/pdf/Indian-Materia-Medica-Vol.-1-compressed.pdf
"Indian Medical Plants Vol – 1","K. R. Kirtikar",1933,,https://worldherblibrary.org/catalog/indian-medical-plants-part-ii/,publish,https://api.worldherblibrary.org/pdf/Basa-compressed-1.pdf
"Indian medicinal plants","K. R. Kirtikar",1918,Periodical,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-4-2/,publish,https://api.worldherblibrary.org/pdf/Indian-Medicinal-Plants-vol.-4-Lt-Colonel-K-R-Kirtikar-442p-compressed.pdf
"Indian medicinal plants","K. R. Kirtikar",1918,Periodical,https://worldherblibrary.org/?post_type=whl_catalog&p=1092,draft,
"Indian medicinal plants","K. R. Kirtikar",1918,Periodical,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-3/,publish,https://api.worldherblibrary.org/pdf/Indian_medicinal_plants_vol_3_842p.pdf
"Indian medicinal plants","K. R. Kirtikar",1918,Periodical,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-4-3/,publish,https://api.worldherblibrary.org/pdf/Indian-Medicinal-Plants-vol-4-compressed.pdf
"Indian medicinal plants","K. R. Kirtikar",1918,Periodical,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-3-2/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-Vol_3-compressed.pdf
"Indian medicinal plants","K. R. Kirtikar",1918,,https://worldherblibrary.org/catalog/indian-medicinal-plants-3/,publish,https://api.worldherblibrary.org/pdf/Indian-medicine-by-Jolly-Julius-Kashikar-C.G.-compressed.pdf
"Indian Medicinal Plants – Vol.2","Lt. Colonel K.R. Kirtikar , Major B.D Basu & I.C.S",1935,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-2-4/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-Vol_2-compressed.pdf
"Indian medicinal plants Plates Vol. 2","K.R. Kirtikar , B.D Basu",1870,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-plates-vol-2/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-Plates-2-compressed.pdf
"Indian medicinal plants plates Vol. 3","K.R. Kirtikar , B.D Basu",1900,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-plates-vol-3/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-plates-3-compressed.pdf
"Indian medicinal plants plates Vol. 4","K.R. Kirtikar , B.D Basu",1877,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-plates-vol-4/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-plates-4-compressed.pdf
"Indian Medicinal Plants vol 1 Lt Colonel K R Kirtikar","Kirtikar, K. R.",,,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-1/,publish,https://api.worldherblibrary.org/pdf/Indian_Medicinal_Plants_vol_1_Lt-Colonel_K_R_Kirtikar_950p.pdf
"Indian Medicinal Plants vol 2 Lt Colonel K R Kirtikar","Kirtikar, K. R.",,,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-2/,publish,https://api.worldherblibrary.org/pdf/Indian_Medicinal_Plants_vol_2_Lt-Colonel_K_R_Kirtikar_792p.pdf
"Indian Medicinal Plants vol 4 Lt Colonel K R Kirtikar","Kirtikar, K. R.",,,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-4/,publish,https://api.worldherblibrary.org/pdf/Indian_Medicinal_Plants_vol_4_Lt-Colonel_K_R_Kirtikar_442p.pdf
"Indian Medicinal Plants Vol. 1","K. R. Kirtikar",1918,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-1-2/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-vol-1-compressed.pdf
"Indian Medicinal Plants Vol. 2","K. R. Kirtikar",1918,Ayurveda,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-2-2/,publish,https://api.worldherblibrary.org/pdf/Indian-medicinal-plants-vol-2-compressed.pdf
"Indian Medicinal Plants vol. 4, Lt Colonel K R Kirtikar",,,,https://worldherblibrary.org/catalog/indian-medicinal-plants-vol-4-lt-colonel-k-r-kirtikar/,publish,https://api.worldherblibrary.org/pdf/Indian%20Medicinal%20Plants%20vol.%204%2C%20Lt-Colonel%20K%20R%20Kirtikar%20442p.pdf
"Indian Medicine","John Mason Browne",1866,"Indian Doctor Guides",https://worldherblibrary.org/catalog/indian-medicine/,publish,https://api.worldherblibrary.org/pdf/Indian-medicine-by-Browne-John-Mason-compressed.pdf
"Indian Medicine","Julius Jolly",1977,,https://worldherblibrary.org/catalog/indian-medicine-2/,publish,https://api.worldherblibrary.org/pdf/Indian-medicine-by-Jolly-Julius-Kashikar-C.G.-compressed.pdf
"Indoor herb gardens for thrifty kitchens","United States. Department of Agriculture. Radio Service",1933,,https://worldherblibrary.org/catalog/indoor-herb-gardens-for-thrifty-kitchens/,publish,https://api.worldherblibrary.org/pdf/Indoor-herb-gardens-for-thrifty-kitchens-compressed.pdf
"Insectivorous Plants","Darwin, Charles",1876,Botany,https://worldherblibrary.org/catalog/insectivorous-plants/,publish,https://api.worldherblibrary.org/pdf/Insectivorous_Plants_Charles_Darwin.pdf
"Integrated Pharmacology 1e Clive P Page MD",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14739,draft,https://api.worldherblibrary.org/pdf/Integrated_Pharmacology_1e_Clive_P_Page_MD_606p_0723425566.pdf
"Interesting history of the Panax (Quinquefolium) of Linnaeus","B.N. Comings",1851,"Botany, Herbs, Medical Botany",https://worldherblibrary.org/catalog/interesting-history-of-the-panax-quinquefolium-of-linnaeus/,publish,https://api.worldherblibrary.org/pdf/Interesting-history-of-the-Panax-Quinquefolium-of-Linnaeus-compressed.pdf
"International symposium on traditional medicines and abstracts modern pharmacology",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14737,draft,https://api.worldherblibrary.org/pdf/International_symposium_on_traditional_medicines_and_abstracts_modern_pharmacology_294p.pdf
"Introduction to medical Botany","Thomas Castle",1829,"Botany, Medical Botany",https://worldherblibrary.org/catalog/introduction-to-medical-botany/,publish,https://api.worldherblibrary.org/pdf/MB5-compressed.pdf
"Irish Ethno-Botany","Michael F. Moloney",1919,Ethnobotany,https://worldherblibrary.org/catalog/irish-ethno-botany/,publish,https://api.worldherblibrary.org/pdf/Irish-ethno-botany-and-the-evolution-of-medicine-in-Ireland-compressed.pdf
"Iroquois Uses of Maize and Other food Plants","Arthur C. Parker",1910,"Medicinal Plants",https://worldherblibrary.org/catalog/iroquois-uses-of-maize-and-other-food-plants/,publish,https://api.worldherblibrary.org/pdf/iroquoisusesofma00parkrich-compressed.pdf
"Isadore Smith (Ann Leighton) A Horticultural History of Early American Gardens by LUCINDA BROCKWAY. from the VIEW, the Magazine of the Library of American Landscape History.","Lucinda Brockway",1837,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=7950,draft,https://api.worldherblibrary.org/pdf/Smith-pdf.mp3
"Island Biology","Carliquist, S.",,,https://worldherblibrary.org/?post_type=whl_catalog&p=349,draft,https://api.worldherblibrary.org/pdf/Island_Biology_Sherwin_Carlquist_656p_0231035624.pdf
"Island Biology Sherwin Carlquist",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14741,draft,https://api.worldherblibrary.org/pdf/Island%20Biology%20Sherwin%20Carlquist%20656p_0231035624.pdf
"Italian villas and their gardens","Edith Wharton",1904,Gardening,https://worldherblibrary.org/catalog/italian-villas-and-their-gardens/,publish,https://api.worldherblibrary.org/pdf/Italian-villas-and-their-gardens-by-Wharton-Edith-1862-1937-compressed.pdf
"J.M. Nickell’s Botanical Ready Reference","J. M. Nickell",1895,"Herbs, Materia Medica, Medical Botany",https://worldherblibrary.org/catalog/j-m-nickells-botanical-ready-reference/,publish,https://api.worldherblibrary.org/pdf/J.M.-Nickells-botanical-ready-reference-compressed.pdf
"Jane Colden : America’s First Woman Botanist .",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=9922,draft,
"Jeanne Baret: The First Woman to Circumnavigate the Globe and an Unsung Pioneer of Botany",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=9724,draft,
"Jepson Field Book California Botanical Explorers Notes on the Botanists of California and Western America. II",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-II-compressed.pdf
"Jepson Field Book California Botanical Explorers Notes on the Botanists of California and Western America. III",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-III-compressed.pdf
"Jepson Field Book California Botanical Explorers Notes on the Botanists of California and Western America. IV",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-IV-compressed.pdf
"Jepson Field Book California Botanist Vol 1","Willis Linn Jepson",1929,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/jepson-field-book-california-botanist-vol-1/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-I-compressed.pdf
"Jepson Field Book California Botanist Vol 2","Willis Linn Jepson",1936,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/jepson-field-book-california-botanist-vol-2/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-II-compressed.pdf
"Jepson Field Book California Botanist Vol 3","Willis Linn Jepson",1943,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/jepson-field-book-california-botanist-vol-3/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-III-compressed.pdf
"Jepson Field Book California Botanist Vol 4","Willis Linn Jepson",1943,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/jepson-field-book-california-botanist-vol-4/,publish,https://api.worldherblibrary.org/pdf/Jepson-Field-Book-California-Botanical-Explorers-Notes-on-the-Botanists-of-California-and-Western-America.-IV-compressed.pdf
"Jethro Kloss: Herbalist, Health Reformer",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=6885,draft,
"Jo. Sig. Elsholtii Destillatoria curiosa; sive, Ratio ducendi liquores coloratos per alembicum","Jo. Sig. Elsholtz",1674,"Vegetable Drugs",https://worldherblibrary.org/catalog/jo-sig-elsholtii-destillatoria-curiosa-sive-ratio-ducendi-liquores-coloratos-per-alembicum/,publish,https://api.worldherblibrary.org/pdf/Jo.-Sig.-Elsholtii-Destillatoria-curiosa-sive-Ratio-ducendi-liquores-coloratos-per-alembicum-compressed.pdf
"John Gerard: The Elizabethan Herbalist and His “Generall Historie of Plantes”",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=9005,draft,
"John Parkinson, Herbalist Extraordinaire His Life and Legacy",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=6874,draft,
"John Skelton","Peter Green",1960,,https://worldherblibrary.org/catalog/john-skelton/,publish,https://api.worldherblibrary.org/pdf/Skelton-compressed.pdf
"John Uri Lloyd and the Lloyd Brother’s Specific Medicines",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=6901,draft,
"Journal David Douglas","Mr. David Douglas, A.L.S.",1914,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/journal-david-douglas/,publish,https://api.worldherblibrary.org/pdf/Journal-kept-by-David-Douglas-during-his-travels-in-North-America-1823-1827-compressed.pdf
"Journal Ethnobiology Fall Winter",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14855,draft,https://api.worldherblibrary.org/pdf/Journal_Ethnobiology_Fall_Winter_2003_164p.pdf
"Journal of the Philadelphia College of Pharmacy","R.E Griffith ,George B. Wood",1894,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-5/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy-vol-5-compressed.pdf
"Journal of the Philadelphia College of Pharmacy vol 1","Benjamin Ellis",1830,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-1/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy-vol1-compressed.pdf
"Journal of the Philadelphia College of Pharmacy vol 2","R.E Griffith ,George B. Wood",1831,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-2/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy-vol2-compressed.pdf
"Journal of the Philadelphia College of Pharmacy vol 3","R.E Griffith ,George B. Wood",1832,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-3/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy.vol3-pdf-compressed.pdf
"Journal of the Philadelphia College of Pharmacy vol 4","R.E Griffith ,George B. Wood",1833,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-4/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy-vol4-compressed.pdf
"Journal of the Philadelphia College of Pharmacy vol 6","R.E Griffith ,George B. Wood",1833,Pharmacy,https://worldherblibrary.org/catalog/journal-of-the-philadelphia-college-of-pharmacy-vol-6/,publish,https://api.worldherblibrary.org/pdf/Journal-of-the-Philadelphia-College-of-Pharmacy-vol6-compressed.pdf
"Journal of the Washington Academy of Sciences",[Various],1926,Journals,https://worldherblibrary.org/catalog/journal-of-the-washington-academy-of-sciences/,publish,https://api.worldherblibrary.org/pdf/biostor-145045-compressed.pdf
"Journal of Travels into the Arkansa Territory","Thomas Nuttall, F. L. S",1821,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/journal-of-travels-into-the-arkansa-territory/,publish,https://api.worldherblibrary.org/pdf/A-journal-of-travels-into-the-Arkansas-territory-compressed.pdf
"Journey to Ixtlan",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14857,draft,https://api.worldherblibrary.org/pdf/Journey_to_Ixtlan_Carlos_Castaneda_268p_0671804243.pdf
"Journey to Ixtlan Carlos Castaneda",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14743,draft,https://api.worldherblibrary.org/pdf/Journey%20to%20Ixtlan%20Carlos%20Castaneda%20268p_0671804243.pdf
"Juliette de Bairacli Levy: Herbal Nomad",,,"Audio Books",https://worldherblibrary.org/?post_type=whl_catalog&p=7670,draft,
"Kava The Pacific Drug Psychoactive Plants of the World Series Vincent Lebot",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14867,draft,https://api.worldherblibrary.org/pdf/Kava_The_Pacific_Drug_Psychoactive_Plants_of_the_World_Series_Vincent_Lebot_256p_0300052138.pdf
"Kava-Kava Root, Piper methysticum From Madaus, Textbook of Medicinal Plants","Gerhard Madaus",1905,Translations,https://worldherblibrary.org/catalog/kava-kava-root-piper-methysticum-from-madaus-textbook-of-medicinal-plants/,publish,https://api.worldherblibrary.org/pdf/Piper-methysticum-english-translation-DS.pdf
"Keep off the grass A scientific enquiry into the biological effects of marijuana Pergamon international library of science technology engineering and social studies Gabriel G Nahas",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14865,draft,https://api.worldherblibrary.org/pdf/Keep_off_the_grass_A_scientific_enquiry_into_the_biological_effects_of_marijuana_Pergamon_international_library_of_science_technology_engineering_and_social_studies_Gabriel_G_Nahas_259p_0080237800.pdf
"Keith’s Domestic Practice And Botanic Handbook","Melville C. Keith",1901,"Family Botanical Guides",https://worldherblibrary.org/catalog/keiths-domestic-practice-and-botanic-handbook-2/,publish,https://api.worldherblibrary.org/pdf/Keiths-domestic-practice-and-botanic-handbook-compressed.pdf
"Keys to the families and genera of vascular plants in northwest California","J. P. Smith",1978,,https://worldherblibrary.org/catalog/keys-to-the-families-and-genera-of-vascular-plants-in-northwest-california/,publish,https://api.worldherblibrary.org/pdf/Keys_to_the_Families_and_Genera_of_Vascular_Plants_in_Northwest_California_Jr_James_P_Smith_202p_B002BSIYXO.pdf
"Khler’s Medizinal – Pflanzen","Hermann Adolph Khler",1848,Herbals,https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen/,publish,https://api.worldherblibrary.org/pdf/Kohler_s-Medizinal-Pflanzen-compressed-2.pdf
"King s American Dispensatory Harvey Wickes Felter","Felter, H.W., Lloyd, J.U.",1905,"Dispensatory, Pharmacopeia, Region, United States",https://worldherblibrary.org/catalog/kings-american-dispensatory/,publish,https://api.worldherblibrary.org/pdf/King_s_American_Dispensatory_Harvey_Wickes_Felter_946p.pdf
"King s American Dispensatory Harvey Wickes Felter 946p",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=14093,draft,https://api.worldherblibrary.org/pdf/King-s-American-Dispensatory-Harvey-Wickes-Felter-946p-compressed.pdf
"King’s American Dispensatory vol 1","John King",1808,Dispensatory,https://worldherblibrary.org/catalog/kings-american-dispensatory-vol-1/,publish,https://api.worldherblibrary.org/pdf/King_s_American_Dispensatory_Harvey_Wickes_Felter_946p-compressed.pdf
"King’s American Dispensatory Vol. 1 1905","Harvey Wickes Felter",1905,"Lloyd Botanical Library",https://worldherblibrary.org/catalog/kings-american-dispensatory-vol-1-1905/,publish,https://api.worldherblibrary.org/pdf/King_s-American-dispensatory-vol-1-1905-compressed.pdf
"King’s American Dispensatory Vol. 2 1905","Harvey Wickes Felter",1905,"Lloyd Botanical Library",https://worldherblibrary.org/catalog/kings-american-dispensatory-vol-2-1905/,publish,https://api.worldherblibrary.org/pdf/King_s-American-dispensatory-vol-2-1905-compressed.pdf
"King’s American Dispensatory Vol.2",,19050000,,https://worldherblibrary.org/?post_type=whl_catalog&p=14087,draft,https://api.worldherblibrary.org/pdf/King_s-American-dispensatory-compressed.pdf
"Kitab – I Hashayish","Dioscorides Pedanius",1595,"Herbals, Late Medieval",https://worldherblibrary.org/catalog/kitab-i-hashayish/,publish,https://api.worldherblibrary.org/pdf/Kitab-i-%E1%B8%A4ashayish.-%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AD%D8%B4%D8%A7%D9%8A%D8%B4-by-Dioscorides-Pedanius-of-Anazarbos-1595-compressed.pdf
"Kitab i Ḥashayish. کتاب حشايش by Dioscorides Pedanius of Anazarbos 1595",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Kitab-i-%E1%B8%A4ashayish.-%DA%A9%D8%AA%D8%A7%D8%A8-%D8%AD%D8%B4%D8%A7%D9%8A%D8%B4-by-Dioscorides-Pedanius-of-Anazarbos-1595-compressed.pdf
"Kleines Distillierbuch","Hieronymus Brunschwig",1828,"Essential Oils",https://worldherblibrary.org/catalog/kleines-distillierbuch/,publish,https://api.worldherblibrary.org/pdf/Kleines-Distillierbuch-compressed.pdf
"Kohler s Medizinal Pflanzen",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Kohler_s-Medizinal-Pflanzen-compressed-1.pdf
"Kohler s Medizinal Pflanzen",,,,https://worldherblibrary.org/catalog/,publish,https://api.worldherblibrary.org/pdf/Kohler_s-Medizinal-Pflanzen-compressed.pdf
"Kohler’s Medizinal – Pflanzen Vol. 1","Hermann Adolph Khler",1887,"Medicinal Plants",https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen-vol-1/,publish,https://api.worldherblibrary.org/pdf/Kohler_s-Medizinal-Pflanzen-vol-1-compressed.pdf
"Kohler’s Medizinal-Pflanzen vol 2","Wilhelm Brandt",1887,"Medical Botany, Medicinal Plants",https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen-vol-2/,publish,https://api.worldherblibrary.org/pdf/Kohlers-Medizinal-Pflanzen-1883-vol-2.pdf
"Kohler’s Medizinal-Pflanzen vol 3","Wilhelm Brandt",1887,"Medical Botany, Medicinal Plants",https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen-vol-3/,publish,https://api.worldherblibrary.org/pdf/Kohlers-Medizinal-Pflanzen-1883-vol-3-compressed.pdf
"Kohler’s Medizinal-Pflanzen vol 4","Wilhelm Brandt",1887,"Medical Botany, Medicinal Plants",https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen-vol-4/,publish,https://api.worldherblibrary.org/pdf/Kohlers-Medizinal-Pflanzen-1883-vol-4.pdf
"Kohler’s Medizinal-Pflanzen vol1","Wilhelm Brandt",1887,"Medical Botany, Medicinal Plants",https://worldherblibrary.org/catalog/kohlers-medizinal-pflanzen-vol1/,publish,https://api.worldherblibrary.org/pdf/Kohlers-Medizinal-Pflanzen-1883-vol-1-compressed.pdf
"Kōkei saikyūhō vol 1",,,,https://worldherblibrary.org/?post_type=whl_catalog&p=13113,draft,
"Kōkei saikyūhō vol 1","Taki, Motonori",1790,"Chinese Medicine",https://worldherblibrary.org/catalog/kokei-saikyuho-vol-1/,publish,https://api.worldherblibrary.org/pdf/Kokei-saikyuho-v.1-compressed.pdf
"Kōkei saikyūhō vol 2","Taki, Motonori",1790,"Chinese Medicine",https://worldherblibrary.org/catalog/kokei-saikyuho-vol-2/,publish,https://api.worldherblibrary.org/pdf/Kokei-saikyuho-v.2-compressed.pdf
"Kōkei saikyūhō vol 3","Taki, Motonori",1790,"Chinese Medicine",https://worldherblibrary.org/catalog/kokei-saikyuho-vol-3/,publish,https://api.worldherblibrary.org/pdf/Kokei-saikyuho-vol-3-compressed.pdf
"Kraemer’s Applied And Economic Botany","Henry Kraemer",1873,"Economic Botany",https://worldherblibrary.org/catalog/krsemers-applied-and-economic-botany/,publish,https://api.worldherblibrary.org/pdf/Krsemer_s-Applied-and-Economic-Botany-compressed.pdf
"Kreuterbuch by Bock, 1964 reprint",,,,https://worldherblibrary.org/catalog/kreuterbuch-by-bock-1964-reprint/,publish,https://api.worldherblibrary.org/pdf/Kreuterbuch%20by%20Bock%2C%201964%20reprint.pdf
"La “Materia medica” de Dioscorides","Andrés de Laguna, César E. Dubler, Dioscorides Pedanius of Anazarbos",1518,,https://worldherblibrary.org/?post_type=whl_catalog&p=7289,draft,
"La Biblioteca:re Vista Mensual Dirigida Por P. Groussag",,1898,"Herbal Medicine",https://worldherblibrary.org/catalog/la-bibliotecare-vista-mensual-dirigida-por-p-groussag-2/,publish,https://api.worldherblibrary.org/pdf/Botanica-medica-Americana-compressed-pages-compressed.pdf
"Laboratory manual of pharmacology, including materia medica, pharmacopaedics and pharmacodynamics","A.D. Bush",1919,Pharmacognosy,https://worldherblibrary.org/catalog/laboratory-manual-of-pharmacology-including-materia-medica-pharmacopaedics-and-pharmacodynamics/,publish,https://api.worldherblibrary.org/pdf/Laboratory-manual-of-pharmacology-including-materia-medica-pharmacopaedics-and-pharmacodynamics-copy-compressed.pdf
"Landmarks of Botanical History","Edward Lee Greene",1909,Botany,https://worldherblibrary.org/catalog/landmarks-of-botanical-history/,publish,https://api.worldherblibrary.org/pdf/Landmarks-of-botanical-history-compressed.pdf
"Landmarks of Botanical History","Edward Lee Greene",1909,"Botanists and Plant Hunters",https://worldherblibrary.org/catalog/landmarks-of-botanical-history-2/,publish,https://api.worldherblibrary.org/pdf/Landmarks-of-botanical-history-2-compressed.pdf
"Landscape gardening","Andrew Jackson Downing",1921,Gardening,https://worldherblibrary.org/catalog/landscape-gardening/,publish,https://api.worldherblibrary.org/pdf/Landscape-gardening-compressed.pdf
"Landscape gardening in Japan","Josiah Conder",1893,Gardening,https://worldherblibrary.org/catalog/landscape-gardening-in-japan/,publish,https://api.worldherblibrary.org/pdf/Landscape-gardening-in-Japan-compressed.pdf
"Landscape Gardening Studies","Samuel Parsons",1910,Gardening,https://worldherblibrary.org/catalog/landscape-gardening-studies/,publish,https://api.worldherblibrary.org/pdf/Landscape-gardening-studies-compressed.pdf
"Language and Poetry of Flowers","Mrs. O. M. Kirtland",1884,"The Artistic Language of Flowers",https://worldherblibrary.org/catalog/language-and-poetry-of-flowers/,publish,https://api.worldherblibrary.org/pdf/Language-and-poetry-of-flowers-compressed.pdf
"Las plantas medicinales de México","Maximino Martínez",1933,,https://worldherblibrary.org/catalog/las-plantas-medicinales-de-mexico-cuarta-edicion/,publish,https://api.worldherblibrary.org/pdf/Las_Plantas_Medicinales_De_Mexico_Cuarta_Edicion_678p.pdf
"Last Legacy, And Useful Family Guide","Dr. John Williams",1826,"Family Botanical Guides",https://worldherblibrary.org/catalog/last-legacy-and-useful-family-guide/,publish,https://api.worldherblibrary.org/pdf/Dr.-John-Williams_-last-legacy-and-useful-family-guide-compressed.pdf
"Latin names of common plants","F. Dawtrey Drewitt",1927,,https://worldherblibrary.org/catalog/common-names-of-common-plants-plant-lore-from-the-dictionary/,publish,https://api.worldherblibrary.org/pdf/Common-names-of-common-plants-Plant-lore-from-the-dictionary-compressed.pdf
"Le benefice commun de tout le monde…. la proprieté des herbes & plantes communes","M. Leonard Fuschs.",1564,"Herbal Medicine",https://worldherblibrary.org/catalog/le-benefice-commun-de-tout-le-monde-la-propriete-des-herbes-plantes-communes/,publish,https://api.worldherblibrary.org/pdf/Le-benefice-commun-de-tout-le-monde.-la-propriete-des-herbes-plantes-communes.pdf
"Le grant Herbier",,1540,Herbals,https://worldherblibrary.org/catalog/le-grant-herbier/,publish,https://api.worldherblibrary.org/pdf/Le-grant-herbier-en-Francoys-compressed.pdf
"Le Livre des Simples Medecines",,19130000,,https://worldherblibrary.org/?post_type=whl_catalog&p=13972,draft,https://api.worldherblibrary.org/pdf/Le-livre-des-simples-medecines-.pdf
"Le Livre Des Simples Medecines","Paul Dorveaux",1913,"Herbal Simples",https://worldherblibrary.org/catalog/le-livre-des-simples-medecines-2/,publish,https://api.worldherblibrary.org/pdf/Le-livre-des-simples-medecines-compressed.pdf
