Title,Authors,"Year Published","Library Categories",Permalink,Status,"Publication File"
"A Chronology of medicine ancient mediaeval and modern","John Morgan Richards",1880,History,https://worldherblibrary.org/catalog/a-chronology-of-medicine-ancient-mediaeval-and-modern-2/,publish,https://api.worldherblibrary.org/pdf/A-Chronology-of-medicine-ancient-mediaeval-and-modern-compressed-1.pdf
"A chronology of medicine, ancient, mediaeval, and modern","John Morgan Richards",1880,,https://worldherblibrary.org/catalog/a-chronology-of-medicine-ancient-mediaeval-and-modern-3/,publish,https://api.worldherblibrary.org/pdf/A-chronology-of-medicine-ancient-mediaeval-and-modern_-being-a-historical-an-antiquarian-compressed-1.pdf
"A chronology of medicine, ancient, mediaeval, and modern","John Morgan Richards",1880,,https://worldherblibrary.org/catalog/a-chronology-of-medicine-ancient-mediaeval-and-modern-4/,publish,https://api.worldherblibrary.org/pdf/A-chronology-of-medicine-ancient-mediaeval-and-modern_-being-a-historical-an-antiquarian-compressed.pdf
"A Clinical Materia Medica","E. A. Farrington",1897,Homeopathy,https://worldherblibrary.org/catalog/a-clinical-materia-medica/,publish,https://api.worldherblibrary.org/pdf/A-clinical-materia-medica-compressed.pdf
"A companion to the United States pharmacopia","Oscar Oldberg, Otto A. Wall",1884,Pharmacy,https://worldherblibrary.org/catalog/a-companion-to-the-united-states-pharmacopia/,publish,https://api.worldherblibrary.org/pdf/A-companion-to-the-United-States-pharmacopia.pdf
"A Compend  of pharmacy","F.E Stewart",1895,Pharmacy,https://worldherblibrary.org/catalog/a-compend-of-pharmacy/,publish,https://api.worldherblibrary.org/pdf/A20compend20of20pharmacy-compressed.pdf
"A Compend Of The Principles Of Homoeopathy","Wm. Boericke",1896,Homeopathy,https://worldherblibrary.org/catalog/a-compend-of-the-principles-of-homoeopathy/,publish,https://api.worldherblibrary.org/pdf/A-compend-of-the-principles-of-homoeopathy-compressed.pdf
"A Compendium Of Botanic Materia Medica","Samuel Waggaman",1895,"Materia Medica",https://worldherblibrary.org/catalog/a-compendium-of-botanic-materia-medica/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-botanic-materia-medica-compressed.pdf
"A Compendium of Botanic Materia Medica for use of students in medicine and pharmacy","Samuel Waggaman, M.D., PHAR., D",1895,"Herbal Medicine",https://worldherblibrary.org/catalog/a-compendium-of-botanic-materia-medica-for-use-of-students-in-medicine-and-pharmacy/,publish,https://api.worldherblibrary.org/pdf/A-Compendium-of-Botanic-Materia-Medica-for-use-of-students-in-medicine-and-pharmacy-compressed.pdf
"A Compendium Of Domestic Medicine","Henry Mcmurtrie",1871,"Family Botanical Guides",https://worldherblibrary.org/catalog/a-compendium-of-domestic-medicine/,publish,https://api.worldherblibrary.org/pdf/A-compendium-of-domestic-medicine-compressed.pdf
